categoría,nombre del plato,descripción,precio,URL de imagen
Bebidas Calientes,Americano,,s/7.00,americano.png
Bebidas Calientes,Expresso,,s/6.00,Expresso.png
Bebidas Calientes,Capuccino,,s/10.00,Capuccino.png
Bebidas Calientes,Mocaccino,,s/12.00,Mocaccino.png
Bebidas Calientes,Latte,,s/10.00,Latte.png
Bebidas Calientes,Chai Latte,,s/12.00,Chai Latte.png
Bebidas Calientes,Caramel Latte,,s/12.00,Caramel Latte.png
Bebidas Calientes,Chocolate Arcoiris,,s/10.00,Chocolate Arcoiris.png
Bebidas Frías,Iced Coffe,,s/8.00,Iced Coffe.png
Bebidas Frías,Iced Latte,,s/12.00,
Bebidas Frías,Iced Caramel Macchiato,,s/12.00,
Bebidas Frías,Orange Coffee,,s/12.00,Orange Coffee.png
Bebidas Frías,Iced Vainilla Latte,,s/12.00,
Jugos,Fresa + papaya + piña,,s/9.00,Fresa+Papaya+Piña.png
Jugos,Fresa + plátano + naranja,,s/9.00,Fresa+Plátano+Naranja.png
Jugos,Papaya + piña,,s/9.00,Papaya+Piña.png
Jugos,Papaya + piña + naranja,,s/9.00,
Jugos,Papaya + naranja,,s/9.00,
Jugos,Fresa,,s/8.00,
Jugos,Papaya,,s/8.00,
Jugos,Piña,,s/8.00,
Jugos,Naranja,,s/8.00,
Jugos,Mango,,s/8.00,
Jugos,Surtido,,s/8.00,
Batidos,Lúcuma + leche,,s/10.00,
Batidos,Fresa + plátano + leche,,s/10.00,
Batidos,Mango + fresa + leche,,s/10.00,
Batidos,Mango + leche,,s/10.00,
Batidos,Fresa + leche,,s/10.00,
Batidos,Papaya + leche,,s/10.00,
Wafles,W. Clásico,"Incluye fosh o miel de maple, fresa, plátano y arándanos",S/20.00,
Wafles,W. Frutero,"Incluye Nutella, fresa, plátano, durazno, arándanos, kiwi, mango",S/22.00,
Wafles,W. Personalizado,"Personaliza a tu gusto: nutella, miel de maple, fosh o manjar blanco + 3 frutas + 3 topping",S/22.00,
Wafles,W. con Helado,Incluye Nutella + fresa + plátano + durazno + 1 topping y helado frito sabor a elección,S/27.00,
Ensalada de frutas,Ensalada de frutas,La mejor selección de frutas de estación + yogurt + cereales,S/17.00,
Frozen,Limonada Clásica,Fruta natural,s/10.50,
Frozen,Limonada de Fresa,Fruta natural,s/10.50,
Frozen,Maracumango,Fruta natural,s/10.50,
Frozen,Maracuyá,Fruta natural,s/10.50,
Frozen,Limonada,Fruta natural,s/10.50,
Frozen,Durazno,Fruta natural,s/10.50,
Frozen,Sandia,Fruta natural,s/10.50,
Frozen,Mango,Fruta natural,s/10.50,
Frozen,Piña,Fruta natural,s/10.50,
Frozen,Fresa,Fruta natural,s/10.50,
Bubble Juice,Fresa,Bebidas a base de frutas naturales,,
Bubble Juice,Piña,Bebidas a base de frutas naturales,,
Bubble Juice,Fresa + papaya + piña,Bebidas a base de frutas naturales,,
Bubble Juice,Papaya + piña + naranja,Bebidas a base de frutas naturales,,
Bubble Juice,Granadilla + naranja + ...,Bebidas a base de frutas naturales,,
Bubble Teas,Bubble Tea de Fresa,Jazmine green tea,,
Bubble Teas,Bubble Tea de Mango,Jazmine green tea,,
Bubble Teas,Bubble Tea de Piña,Jazmine green tea,,
Bubble Teas,Bubble Tea de Uva,Jazmine green tea,,
Bubble Teas,Bubble Tea de Maracuyá,Jazmine green tea,,
Bubble Teas,Bubble Tea de Fresa + maracuyá,Jazmine green tea,,
Bubble Teas,Bubble Tea de Mango + maracuyá,Jazmine green tea,,
Bubble Teas,Bubble Tea de Maracuyá + Sandia,Jazmine green tea,,
Bubble Lattes,Taro,Latte con leche. Incluye tapioca,,
Bubble Lattes,Brown sugar,Latte con leche. Incluye tapioca,,
Bubble Lattes,Matcha,Latte con leche. Incluye tapioca,,
Bubble Lattes,Matcha fresa,Latte con leche. Incluye tapioca,,
Bubble Lattes,Taro oreo,Latte con leche. Incluye tapioca,,
Bebidas Especiales,Piña Colada,Bebida Tropical,,
Bebidas Especiales,Coconut,Bebida Tropical,,
Bebidas Especiales,Strawberry matcha,Especialidad. Incluye complemento tapioca,,
Frappé,Frappé de café,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de oreo,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de caramelo,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de manjar blanco,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de moka,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de Nutella,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de Algarrobina,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de Mocha Blanco,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de Baileys,"Incluye café, crema batida y topping",s/15.00,
Frappé,Frappé de Choco lúcuma,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappé de Pie de limón,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappé de Fresa,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappe de Matcha,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappe de maracuyá,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappe de Choco Menta,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappe de Cookies and Cream,"No Incluye café, incluye crema batida y topping",s/15.00,
Frappé,Frappe de Pistacho,"No Incluye café, incluye crema batida y topping",s/15.00,
Helados Frito,Helado de Oreo,Base Galletas,s/10.00,
Helados Frito,Helado de Casino menta,Base Galletas,s/10.00,
Helados Frito,Helado de Vainilla,Base Galletas,s/10.00,
Helados Frito,Helado de Morochas,Base Galletas,s/10.00,
Helados Frito,Helado de Pícaras,Base Galletas,s/10.00,
Helados Frito,Helado de Nutella,Base Chocolates,s/10.00,
Helados Frito,Helado de Chocman,Base Chocolates,s/10.00,
Helados Frito,Helado de Beso de moza,Base Chocolates,s/10.00,
Helados Frito,Helado de Baileys,Base Licores,s/14.00,
Helados Frito,Helado de Ron c/n pasas,Base Licores,s/14.00,
Helados Frito,Helado de Piña Colada,Base Licores,s/14.00,
Helados Frito,Helado de Café,Otros sabores,s/12.00,
Helados Frito,Helado de Algarrobina,Otros sabores,s/12.00,
Helados Frito,Helado de Fresa,Base Frutas,,
Helados Frito,Helado de Lúcuma,Base Frutas,,
Helados Frito,Helado de Mango,Base Frutas,,
Helados Frito,Helado de Arándanos,Base Frutas,,
Helados Frito,Helado de Coco,Base Frutas,,
Helados Frito,Helado de Aguaymanto,Base Frutas,,
Helados Frito,Helado de Plátano,Base Frutas,,
Helados Frito,Helado de Limón,Base Frutas,,
Helados Frito,Helado de Kiwi,Base Frutas,,
Helados Frito,Helado de Maracuyá,Base Frutas,,
Complementos,Mango,Complemento extra,+S/3.00,
Complementos,Tapioca,Complemento extra,+S/3.00,
Complementos,Arándanos,Complemento extra,+S/3.00,
Complementos,Fresa,Complemento extra,+S/3.00,
Complementos,Maracuyá,Complemento extra,+S/3.00,
Complementos,Manzana Verde,Complemento extra,+S/3.00,
Complementos,Popping Boba,Topping para helados o bebidas,,
Complementos,Pecanas,Topping para helado frito,,
Complementos,Chispas de chocolate,Topping para helado frito,,
Complementos,Malvaviscos,Topping para helado frito,,
Complementos,Chin-chin,Topping para helado frito,,
Complementos,Gomitas,Topping para helado frito,,
Complementos,Oreo,Topping para helado frito,,
