nombres,nombre del plato,descripción,precio,URL de imagen,próximamente
Combos Desayunos,Combo 1,Cafe americano + Keke,10.00,,
Combos Desayunos,Combo 2,Cafe americano + Croissant Mixto,13.00,,
Combos Desayunos,Combo 3,Cafe americano + Ciabatta de Pollo,13.00,,
Combos Desayunos,Combo 4,Capuccino + Ciabatta de Pollo,15.00,,
Combos Desayunos,Combo 5,Capuccino + Croissant de Pollo,16.00,,
Combos Desayunos,Combo 6,Jugo Clásico + Triple,17.00,,
Combos Desayunos,Combo 7,Jugo Clásico + Croissant Mixto,16.00,,
Bebidas Calientes,Americano,"café espresso mezclado con agua caliente ,de sabor intenso y aroma equilibrado",7.00,,
Bebidas Calientes,Capuccino,espresso con leche vaporisada y una suave capa de espuma cremosa ,10.00,,
Bebidas Calientes,Caramel Latte,espresso con leche cremosa y un delicioso toque de caramelo ,12.00,,
Bebidas Calientes,Chai Latte,,12.00,,proximamente
Bebidas Calientes,Chocolate Arcoiris,Bebida caliente de chocolate ,15.00,,
Bebidas Calientes,Espresso,esencia del café concentrado de sabor intenso ,7.00,,
Bebidas Calientes,Latte,espresso con leche vaporisada y una suave capa de espuma cremosa ,10.00,,
Bebidas Calientes,Mocaccino,"deliciosa mezcla de espresso, chocolate y leche cremosa .",12.00,,
Bebidas Frías,Iced Avellana Latte,Espresso helado con leche y jarabe de avellana,12.00,,
Bebidas Frías,Iced Caramel Macchiato,Refrescante cafe helado con leche y dulce toque de caramelo,12.00,,
Bebidas Frías,Iced Coffe,,8.00,,
Bebidas Frías,Iced Latte,"café helado con leche, suave ,refrescante y lleno de sabor ",12.00,,
Bebidas Frías,Iced Mocaccino,Espresso helado con chocolate y leche,13.00,,
Bebidas Frías,Iced Strawberry Latte,Café latte helado con jarabe de fresa natural,12.00,,
Bebidas Frías,Iced Vainilla Latte,"espresso , leche,hielo y un delicado aroma a vainilla",12.00,,
Bebidas Frías,Orange Coffee,"una sorprendente combinación de cafe espresso y naranja ,refrescante y citrica .",12.00,,
Jugos,Fresa,,9.00,,
Jugos,Fresa + papaya + piña,,10.00,,
Jugos,Fresa + plátano + naranja,,10.00,,
Jugos,Mango,,9.00,,
Jugos,Naranja,,9.00,,
Jugos,Papaya,,9.00,,
Jugos,Papaya + naranja,,10.00,,
Jugos,Papaya + piña,,10.00,,
Jugos,Papaya + piña + naranja,,10.00,,
Jugos,Piña,,9.00,,
Jugos,Surtido,,10.00,,
Batidos,Fresa + leche,,12.00,,
Batidos,Fresa + plátano + leche,,12.00,,
Batidos,Lúcuma + leche,,12.00,,
Batidos,Mango + fresa + leche,,12.00,,
Batidos,Mango + leche,,12.00,,
Batidos,Papaya + leche,,12.00,,
Wafles,Ensalada de frutas,La mejor selección de frutas de estación + yogurt + cereales,17.00,,
Wafles,W. Clásico,"Incluye fosh o miel de maple, fresa, plátano y arándanos",20.00,,
Wafles,W. Frutero,"Incluye Nutella, fresa, plátano, durazno, arándanos, kiwi, mango",22.00,,
Wafles,W. Perzonalizado,"Personaliza a tu gusto: puedes agregarle nutella, miel de maple, fosh o manjar blanco + 3 frutas de estación + 3 topping",22.00,,
Wafles,W. con Helado,Incluye Nutella + fresa + plátano + durazno + 1 topping y helado frito sabor a elección,27.00,,
Frozen,Durazno,Fruta natural,12.00,,
Frozen,Fresa,Fruta natural,12.00,,
Frozen,Limonada Clásica,Fruta natural,12.00,,
Frozen,Limonada de Fresa,Fruta natural,12.00,,
Frozen,Mango,Fruta natural,12.00,,
Frozen,Maracumango,Fruta natural,12.00,,
Frozen,Maracuyá,Fruta natural,12.00,,
Frozen,Piña,Fruta natural,12.00,,
Frozen,Sandia,Fruta natural,12.00,,
Bubble Juice,Fresa,Bebidas a base de frutas naturales,12.00,,
Bubble Juice,Fresa + papaya + piña,Bebidas a base de frutas naturales,12.00,,
Bubble Juice,Granadilla + naranja + ...,Bebidas a base de frutas naturales,12.00,,
Bubble Juice,Papaya + piña + naranja,Bebidas a base de frutas naturales,12.00,,
Bubble Juice,Mango + Maracuya,Bebidas a base de frutas naturales,12.00,,
Bubble Juice,Piña,Bebidas a base de frutas naturales,12.00,,
Bubble Teas,Bubble Tea de Fresa,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Fresa + maracuyá,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Mango,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Mango + maracuyá,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Maracuyá,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Maracuyá + Sandia,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Piña,Jazmine green tea,12.00,,
Bubble Teas,Bubble Tea de Uva,Jazmine green tea,12.00,,
Bubble Lattes,Brown sugar,Latte con leche. Incluye tapioca,13.00,,
