nombres,nombre del plato,descripción,precio,URL de imagen,próximamente
Combos Desayunos,Combo 1,Cafe americano + Keke,S/ 10.00,,off
Combos Desayunos,Combo 2,Cafe americano + Croissant Mixto,S/ 13.00,,off
Combos Desayunos,Combo 3,Cafe americano + Ciabatta de Pollo,S/ 13.00,,off
Combos Desayunos,Combo 4,Capuccino + Ciabatta de Pollo,S/ 15.00,,off
Combos Desayunos,Combo 5,Capuccino + Croissant de Pollo,S/ 16.00,,off
Combos Desayunos,Combo 6,Jugo Clásico + Triple,S/ 17.00,,off
Combos Desayunos,Combo 7,Jugo Clásico + Croissant Mixto,S/ 16.00,,off
Bebidas Calientes,Americano,,s/7.00,,off
Bebidas Calientes,Capuccino,,s/10.00,,off
Bebidas Calientes,Caramel Latte,,s/12.00,,off
Bebidas Calientes,Chai Latte,,s/12.00,,off
Bebidas Calientes,Chocolate Arcoiris,,s/10.00,,off
Bebidas Calientes,Expresso,,s/6.00,,off
Bebidas Calientes,Latte,,s/10.00,,off
Bebidas Calientes,Mocaccino,,s/12.00,,off
Bebidas Frías,Iced Avellana Latte,Espresso helado con leche y jarabe de avellana,s/12.00,,off
Bebidas Frías,Iced Caramel Macchiato,,s/12.00,,off
Bebidas Frías,Iced Coffe,,s/8.00,,off
Bebidas Frías,Iced Latte,,s/12.00,,off
Bebidas Frías,Iced Mocaccino,Espresso helado con chocolate y leche,s/13.00,,off
Bebidas Frías,Iced Strawberry Latte,Café latte helado con jarabe de fresa natural,s/12.00,,off
Bebidas Frías,Iced Vainilla Latte,,s/12.00,,off
Bebidas Frías,Orange Coffee,,s/12.00,,off
Jugos,Fresa,,s/8.00,,off
Jugos,Fresa + papaya + piña,,s/9.00,,off
Jugos,Fresa + plátano + naranja,,s/9.00,,off
Jugos,Mango,,s/8.00,,off
Jugos,Naranja,,s/8.00,,off
Jugos,Papaya,,s/8.00,,off
Jugos,Papaya + naranja,,s/9.00,,off
Jugos,Papaya + piña,,s/9.00,,off
Jugos,Papaya + piña + naranja,,s/9.00,,off
Jugos,Piña,,s/8.00,,off
Jugos,Surtido,,s/8.00,,off
Batidos,Fresa + leche,,s/10.00,,off
Batidos,Fresa + plátano + leche,,s/10.00,,off
Batidos,Lúcuma + leche,,s/10.00,,off
Batidos,Mango + fresa + leche,,s/10.00,,off
Batidos,Mango + leche,,s/10.00,,off
Batidos,Papaya + leche,,s/10.00,,off
Wafles,Ensalada de frutas,La mejor selección de frutas de estación + yogurt + cereales,S/17.00,,off
Wafles,W. Clásico,"Incluye fosh o miel de maple, fresa, plátano y arándanos",S/20.00,,off
Wafles,W. Frutero,"Incluye Nutella, fresa, plátano, durazno, arándanos, kiwi, mango",S/22.00,,off
Wafles,W. Perzonalizado,"Personaliza a tu gusto: puedes agregarle nutella, miel de maple, fosh o manjar blanco + 3 frutas de estación + 3 topping",S/22.00,,off
Wafles,W. con Helado,Incluye Nutella + fresa + plátano + durazno + 1 topping y helado frito sabor a elección,S/27.00,,off
Frozen,Durazno,Fruta natural,s/10.50,,off
Frozen,Fresa,Fruta natural,s/10.50,,off
Frozen,Limonada,Fruta natural,s/10.50,,off
Frozen,Limonada Clásica,Fruta natural,s/10.50,,off
Frozen,Limonada de Fresa,Fruta natural,s/10.50,,off
Frozen,Mango,Fruta natural,s/10.50,,off
Frozen,Maracumango,Fruta natural,s/10.50,,off
Frozen,Maracuyá,Fruta natural,s/10.50,,off
Frozen,Piña,Fruta natural,s/10.50,,off
Frozen,Sandia,Fruta natural,s/10.50,,off
